,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,titleId,ordering,title,region,language,types,attributes,isOriginalTitle,Rank,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated,directors,writers,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
0,tt4337690,movie,90 Minutes in Heaven,90 Minutes in Heaven,0.0,2015.0,,121.0,Drama,tt4337690,4,90 Minutes in Heaven,US,,imdbDisplay,,0.0,165,-,-,-,"$4,842,699",899,"$4,842,699",Sep 11,The Samuel Goldwyn Company,False,nm0689187,"nm0689187,nm2926858,nm7714780",nm0689187,Michael Polish,1970.0,,"director,producer,writer","tt0162830,tt0261755,tt0322659,tt1462411"
1,tt1178665,movie,A Walk in the Woods,A Walk in the Woods,0.0,2015.0,,104,"Adventure,Biography,Comedy",tt1178665,16,A Walk in the Woods,US,,imdbDisplay,,0.0,84,-,-,-,"$29,474,282",2158,"$29,504,281",Sep 2,Broad Green Pictures,False,nm0477129,"nm1578335,nm2250139,nm0117445",nm0477129,Ken Kwapis,1957.0,,"director,producer,writer","tt3095080,tt1178665,tt4947608,tt1430615"
2,tt4357170,movie,A la mala,A la mala,0.0,2015.0,,99.0,Comedy,tt4357170,2,Falling for Mala,US,,dvd,,0.0,178,-,-,-,"$3,629,842",384,"$3,629,842",Feb 27,Lionsgate,False,nm0950426,"nm0411517,nm7053880",nm0950426,Pitipol Ybarra,,,"director,producer,camera_department","tt6156346,tt1068899,tt9893062,tt4357170"
3,tt1243974,movie,Aloha,Aloha,0.0,2015.0,,105,"Comedy,Drama,Romance",tt1243974,12,Deep Tiki,US,,,original script title,0.0,104,-,-,-,"$21,067,116",2815,"$21,067,116",May 29,Sony Pictures Entertainment (SPE),False,nm0001081,nm0001081,nm0001081,Cameron Crowe,1957.0,,"writer,producer,director","tt0116695,tt0105415,tt0181875,tt0259711"
4,tt2974918,movie,Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks: The Road Chip,0.0,2015.0,,92.0,"Adventure,Animation,Comedy",tt2974918,27,Alvin and the Chipmunks: The Road Chip,US,,imdbDisplay,,0.0,53,-,-,-,"$55,575,427",3705,"$85,886,987",Dec 18,Twentieth Century Fox,False,nm0065608,"nm0046564,nm0439739,nm0802020,nm1186373",nm0065608,Walt Becker,1968.0,,"director,producer,writer","tt0283111,tt0976238,tt0486946,tt1684734"
5,tt3316948,movie,American Ultra,American Ultra,0.0,2015.0,,96.0,"Action,Comedy",tt3316948,4,American Ultra,US,,imdbDisplay,,0.0,123,-,-,-,"$14,440,985",2778,"$14,440,985",Aug 21,Lionsgate,False,nm1294036,nm0484840,nm1294036,Nima Nourizadeh,1977.0,,"director,editor","tt3316948,tt1636826,tt2388655,tt5563306"
6,tt2870648,movie,Amy,Amy,0.0,2015.0,,128.0,"Biography,Documentary,Music",tt2870648,18,Amy,US,,imdbDisplay,,0.0,142,-,-,-,"$8,399,911",435,"$8,413,144",Jul 3,A24,False,nm0438090,,nm0438090,Asif Kapadia,1972.0,,"producer,director,writer","tt5433114,tt2870648,tt1424432,tt0295682"
7,tt5116208,movie,Annie,Annie,0.0,2015.0,,74.0,"Drama,Romance",tt5116208,1,Annie,US,,imdbDisplay,,0.0,85,-,-,-,"$28,959,342",3197,"$85,911,262",Dec 19,Sony Pictures Entertainment (SPE),False,nm3249809,nm3249809,nm3249809,Ashley Christopher Leach,,,"miscellaneous,writer,producer","tt2609106,tt3656668,tt5116208,tt3243398"
8,tt0478970,movie,Ant-Man,Ant-Man,0.0,2015.0,,117.0,"Action,Adventure,Comedy",tt0478970,15,Ant Man,US,,,alternative spelling,0.0,14,-,-,-,"$180,202,163",3868,"$180,202,163",Jul 17,Walt Disney Studios Motion Pictures,False,nm0715636,"nm0942367,nm0180428,nm0570912,nm0748620,nm0498278,nm1293367,nm0456158",nm0715636,Peyton Reed,1964.0,,"director,producer,actor","tt0204946,tt5095030,tt0478970,tt1068680"
9,tt2395427,movie,Avengers: Age of Ultron,Avengers: Age of Ultron,0.0,2015.0,,141.0,"Action,Adventure,Sci-Fi",tt2395427,15,The Avengers 2,US,,working,,0.0,3,-,-,-,"$459,005,868",4276,"$459,005,868",May 1,Walt Disney Studios Motion Pictures,False,nm0923736,"nm0923736,nm0498278,nm0456158,nm0800209,nm4160687",nm0923736,Joss Whedon,1964.0,,"writer,producer,director","tt0848228,tt0118276,tt1259521,tt0162065"
